journal,year,accepted,rejected,rejection_rate,IF,citations,citable_items
actuators,2020,147,135,0.4787234042553192,1.994,734,140
actuators,2021,338,273,0.44680851063829785,2.523,1335,330
actuators,2022,390,324,0.453781512605042,NA,NA,NA
actuators,2023,45,45,0.5,NA,NA,NA
aerospace,2013,3,8,0.7272727272727273,NA,NA,NA
aerospace,2014,6,12,0.6666666666666666,NA,NA,NA
aerospace,2015,28,28,0.5,NA,NA,NA
aerospace,2016,46,53,0.5353535353535354,NA,NA,NA
aerospace,2017,61,84,0.5793103448275863,NA,NA,NA
aerospace,2018,130,87,0.4009216589861751,NA,NA,NA
aerospace,2019,134,120,0.47244094488188976,NA,NA,NA
aerospace,2020,191,149,0.43823529411764706,1.659,738,175
aerospace,2021,413,331,0.44489247311827956,2.660,1607,384
aerospace,2022,863,826,0.48904677323860274,NA,NA,NA
aerospace,2023,102,93,0.47692307692307695,NA,NA,NA
agriculture,2013,45,59,0.5673076923076923,NA,NA,NA
agriculture,2014,19,50,0.7246376811594203,NA,NA,NA
agriculture,2015,69,90,0.5660377358490566,NA,NA,NA
agriculture,2016,65,108,0.6242774566473989,NA,NA,NA
agriculture,2017,105,150,0.5882352941176471,NA,NA,NA
agriculture,2018,204,330,0.6179775280898876,NA,NA,NA
agriculture,2019,269,708,0.7246673490276356,2.072,1415,260
agriculture,2020,664,1614,0.7085162423178226,2.925,2828,648
agriculture,2021,1327,2469,0.6504214963119073,3.408,6136,1265
agriculture,2022,2248,3460,0.606166783461808,NA,NA,NA
agriculture,2023,236,296,0.556390977443609,NA,NA,NA
agronomy,2013,46,31,0.4025974025974026,NA,NA,NA
agronomy,2014,34,17,0.3333333333333333,NA,NA,NA
agronomy,2015,35,36,0.5070422535211268,NA,NA,NA
agronomy,2016,62,52,0.45614035087719296,NA,NA,NA
agronomy,2017,89,90,0.5027932960893855,1.419,535,85
agronomy,2018,318,475,0.5989911727616646,2.259,932,303
agronomy,2019,937,1564,0.6253498600559776,2.603,2209,886
agronomy,2020,2043,2303,0.5299125632765762,3.417,7099,1994
agronomy,2021,2622,2509,0.4889885012668096,3.949,16684,2514
agronomy,2022,3266,3055,0.48330960291093183,NA,NA,NA
agronomy,2023,295,293,0.49829931972789115,NA,NA,NA
animals,2013,69,26,0.2736842105263158,NA,NA,NA
animals,2014,51,17,0.25,NA,NA,NA
animals,2015,79,29,0.26851851851851855,NA,NA,NA
animals,2016,79,26,0.24761904761904763,NA,NA,NA
animals,2017,103,50,0.32679738562091504,1.654,301,99
animals,2018,250,245,0.494949494949495,1.832,1036,235
animals,2019,1228,997,0.44808988764044944,2.323,2181,1143
animals,2020,2448,2355,0.49031855090568394,2.752,6875,2422
animals,2021,3638,2614,0.4181062060140755,3.231,16466,3534
animals,2022,3666,2718,0.4257518796992481,NA,NA,NA
animals,2023,338,276,0.4495114006514658,NA,NA,NA
antibiotics,2013,32,9,0.21951219512195122,NA,NA,NA
antibiotics,2014,44,10,0.18518518518518517,NA,NA,NA
antibiotics,2015,40,22,0.3548387096774194,NA,NA,NA
antibiotics,2016,37,23,0.38333333333333336,NA,NA,NA
antibiotics,2017,42,33,0.44,NA,NA,NA
antibiotics,2018,112,48,0.3,2.921,701,111
antibiotics,2019,281,156,0.35697940503432496,3.893,1357,257
antibiotics,2020,947,526,0.35709436524100474,4.639,3730,908
antibiotics,2021,1581,693,0.30474934036939316,5.222,9403,1519
antibiotics,2022,1872,974,0.3422347153900211,NA,NA,NA
antibiotics,2023,204,125,0.3799392097264438,NA,NA,NA
antioxidants,2013,31,59,0.6555555555555556,NA,NA,NA
antioxidants,2014,54,73,0.5748031496062992,NA,NA,NA
antioxidants,2015,46,46,0.5,NA,NA,NA
antioxidants,2016,51,50,0.49504950495049505,NA,NA,NA
antioxidants,2017,105,49,0.3181818181818182,NA,NA,NA
antioxidants,2018,200,94,0.3197278911564626,4.520,882,186
antioxidants,2019,680,778,0.53360768175583,5.014,2568,632
antioxidants,2020,1318,2022,0.6053892215568862,6.313,9078,1283
antioxidants,2021,2093,1963,0.483974358974359,7.675,21453,1953
antioxidants,2022,2503,2657,0.514922480620155,NA,NA,NA
antioxidants,2023,235,299,0.5599250936329588,NA,NA,NA
applsci,2012,56,12,0.17647058823529413,NA,NA,NA
applsci,2013,40,41,0.5061728395061729,NA,NA,NA
applsci,2014,36,33,0.4782608695652174,NA,NA,NA
applsci,2015,132,526,0.7993920972644377,NA,NA,NA
applsci,2016,472,1542,0.7656405163853028,1.679,591,436
applsci,2017,1331,3035,0.6951442968392121,1.689,1955,1313
applsci,2018,2788,6263,0.6919677383714506,2.217,5955,2672
applsci,2019,5767,11389,0.663849382140359,2.474,14639,5186
applsci,2020,9196,13320,0.5915793213714692,2.679,34144,9008
applsci,2021,12218,9602,0.44005499541704857,2.838,63761,11798
applsci,2022,13229,9985,0.4301283708107177,NA,NA,NA
applsci,2023,1289,1063,0.45195578231292516,NA,NA,NA
atmosphere,2013,27,17,0.38636363636363635,NA,NA,NA
atmosphere,2014,56,61,0.5213675213675214,NA,NA,NA
atmosphere,2015,104,134,0.5630252100840336,NA,NA,NA
atmosphere,2016,161,185,0.5346820809248555,1.487,501,158
atmosphere,2017,260,348,0.5723684210526315,1.704,792,256
atmosphere,2018,509,481,0.4858585858585859,2.046,1748,488
atmosphere,2019,861,892,0.5088419851682829,2.397,3218,803
atmosphere,2020,1391,1121,0.4462579617834395,2.686,6513,1358
atmosphere,2021,1721,899,0.3431297709923664,3.110,11759,1657
atmosphere,2022,2153,1039,0.32550125313283207,NA,NA,NA
atmosphere,2023,196,105,0.3488372093023256,NA,NA,NA
axioms,2013,25,15,0.375,NA,NA,NA
axioms,2014,25,9,0.2647058823529412,NA,NA,NA
axioms,2015,30,19,0.3877551020408163,NA,NA,NA
axioms,2016,28,25,0.4716981132075472,NA,NA,NA
axioms,2017,36,25,0.4098360655737705,NA,NA,NA
axioms,2018,97,147,0.6024590163934426,NA,NA,NA
axioms,2019,141,153,0.5204081632653061,NA,NA,NA
axioms,2020,142,127,0.4721189591078067,NA,NA,NA
axioms,2021,363,370,0.504774897680764,NA,NA,NA
axioms,2022,773,1115,0.590572033898305,NA,NA,NA
axioms,2023,105,191,0.6452702702702703,NA,NA,NA
behavsci,2013,42,19,0.3114754098360656,NA,NA,NA
behavsci,2014,33,33,0.5,NA,NA,NA
behavsci,2015,35,42,0.5454545454545454,NA,NA,NA
behavsci,2016,30,34,0.53125,NA,NA,NA
behavsci,2017,87,72,0.4528301886792453,NA,NA,NA
behavsci,2018,117,112,0.4890829694323144,NA,NA,NA
behavsci,2019,178,318,0.6411290322580645,NA,NA,NA
behavsci,2020,174,349,0.6673040152963671,NA,NA,NA
behavsci,2021,187,373,0.6660714285714285,NA,NA,NA
behavsci,2022,549,1398,0.7180277349768875,NA,NA,NA
behavsci,2023,80,252,0.7590361445783133,NA,NA,NA
bioengineering,2013,4,3,0.42857142857142855,NA,NA,NA
bioengineering,2014,12,17,0.5862068965517241,NA,NA,NA
bioengineering,2015,17,41,0.7068965517241379,NA,NA,NA
bioengineering,2016,33,66,0.6666666666666666,NA,NA,NA
bioengineering,2017,98,70,0.4166666666666667,NA,NA,NA
bioengineering,2018,113,69,0.3791208791208791,NA,NA,NA
bioengineering,2019,117,58,0.3314285714285714,NA,NA,NA
bioengineering,2020,163,122,0.4280701754385965,NA,NA,NA
bioengineering,2021,231,168,0.42105263157894735,NA,NA,NA
bioengineering,2022,863,764,0.4695759065765212,NA,NA,NA
bioengineering,2023,127,136,0.5171102661596958,NA,NA,NA
biology,2013,67,48,0.41739130434782606,NA,NA,NA
biology,2014,48,29,0.37662337662337664,NA,NA,NA
biology,2015,48,40,0.45454545454545453,NA,NA,NA
biology,2016,54,47,0.46534653465346537,NA,NA,NA
biology,2017,51,66,0.5641025641025641,NA,NA,NA
biology,2018,49,95,0.6597222222222222,NA,NA,NA
biology,2019,101,214,0.6793650793650794,3.796,1424,88
biology,2020,499,787,0.6119751166407466,5.079,2726,478
biology,2021,1393,1800,0.563733166301284,5.168,6091,1317
biology,2022,1875,1739,0.48118428334255675,NA,NA,NA
biology,2023,154,157,0.5048231511254019,NA,NA,NA
biomedicines,2013,4,8,0.6666666666666666,NA,NA,NA
biomedicines,2014,22,16,0.42105263157894735,NA,NA,NA
biomedicines,2015,19,23,0.5476190476190477,NA,NA,NA
biomedicines,2016,27,70,0.7216494845360825,NA,NA,NA
biomedicines,2017,74,128,0.6336633663366337,NA,NA,NA
biomedicines,2018,117,59,0.3352272727272727,NA,NA,NA
biomedicines,2019,100,134,0.5726495726495726,4.717,1156,94
biomedicines,2020,660,1477,0.6911558259241928,6.081,2391,635
biomedicines,2021,2022,2591,0.5616735313245177,4.757,7005,1887
biomedicines,2022,3311,2894,0.46639806607574535,NA,NA,NA
biomedicines,2023,312,220,0.41353383458646614,NA,NA,NA
biomolecules,2013,52,39,0.42857142857142855,NA,NA,NA
biomolecules,2014,55,16,0.22535211267605634,NA,NA,NA
biomolecules,2015,162,18,0.1,NA,NA,NA
biomolecules,2016,48,24,0.3333333333333333,NA,NA,NA
biomolecules,2017,78,28,0.2641509433962264,NA,NA,NA
biomolecules,2018,193,135,0.4115853658536585,4.694,2274,177
biomolecules,2019,949,1055,0.5264471057884231,4.082,3498,884
biomolecules,2020,1685,2271,0.5740647118301314,4.879,10162,1679
biomolecules,2021,1926,1766,0.4783315276273023,6.064,21742,1822
biomolecules,2022,1933,2391,0.5529602220166513,NA,NA,NA
biomolecules,2023,178,368,0.673992673992674,NA,NA,NA
biosensors,2013,26,12,0.3157894736842105,NA,NA,NA
biosensors,2014,34,11,0.24444444444444444,NA,NA,NA
biosensors,2015,45,27,0.375,NA,NA,NA
biosensors,2016,62,37,0.37373737373737376,NA,NA,NA
biosensors,2017,65,39,0.375,NA,NA,NA
biosensors,2018,135,67,0.3316831683168317,NA,NA,NA
biosensors,2019,142,62,0.30392156862745096,3.240,1419,137
biosensors,2020,224,177,0.44139650872817954,5.519,2745,210
biosensors,2021,534,345,0.3924914675767918,5.743,4574,512
biosensors,2022,1234,688,0.35796045785639957,NA,NA,NA
biosensors,2023,140,84,0.375,NA,NA,NA
brainsci,2013,75,24,0.24242424242424243,NA,NA,NA
brainsci,2014,29,21,0.42,NA,NA,NA
brainsci,2015,32,23,0.41818181818181815,NA,NA,NA
brainsci,2016,69,33,0.3235294117647059,NA,NA,NA
brainsci,2017,169,65,0.2777777777777778,NA,NA,NA
brainsci,2018,222,77,0.25752508361204013,2.786,1190,218
brainsci,2019,404,262,0.3933933933933934,3.332,1994,373
brainsci,2020,1033,618,0.37431859479103574,3.394,4198,968
brainsci,2021,1693,874,0.3404752629528633,3.333,8169,1593
brainsci,2022,1745,1080,0.3823008849557522,NA,NA,NA
brainsci,2023,170,108,0.38848920863309355,NA,NA,NA
buildings,2013,40,33,0.4520547945205479,NA,NA,NA
buildings,2014,48,33,0.4074074074074074,NA,NA,NA
buildings,2015,75,54,0.4186046511627907,NA,NA,NA
buildings,2016,55,44,0.4444444444444444,NA,NA,NA
buildings,2017,119,97,0.44907407407407407,NA,NA,NA
buildings,2018,188,173,0.4792243767313019,NA,NA,NA
buildings,2019,244,323,0.5696649029982364,NA,NA,NA
buildings,2020,260,456,0.6368715083798883,2.648,2229,246
buildings,2021,685,957,0.5828258221680876,3.324,3842,649
buildings,2022,2350,2663,0.5312188310392978,NA,NA,NA
buildings,2023,277,250,0.47438330170777987,NA,NA,NA
cancers,2012,70,3,0.0410958904109589,NA,NA,NA
cancers,2013,91,35,0.2777777777777778,NA,NA,NA
cancers,2014,117,28,0.19310344827586207,NA,NA,NA
cancers,2015,136,48,0.2608695652173913,NA,NA,NA
cancers,2016,110,57,0.3413173652694611,NA,NA,NA
cancers,2017,177,118,0.4,5.326,3897,169
cancers,2018,557,1259,0.6932819383259912,6.162,5196,508
cancers,2019,2118,3505,0.6233327405299662,6.126,10442,2020
cancers,2020,3878,4510,0.5376728659990463,6.639,28128,3740
cancers,2021,6485,5652,0.4656834473098789,6.575,56338,6092
cancers,2022,6359,6909,0.5207265601447091,NA,NA,NA
cancers,2023,614,771,0.5566787003610109,NA,NA,NA
catalysts,2013,59,21,0.2625,NA,NA,NA
catalysts,2014,27,24,0.47058823529411764,NA,NA,NA
catalysts,2015,135,85,0.38636363636363635,NA,NA,NA
catalysts,2016,219,175,0.44416243654822335,3.082,1072,205
catalysts,2017,391,336,0.4621733149931224,3.465,1995,388
catalysts,2018,692,389,0.3598519888991674,3.444,3728,661
catalysts,2019,1094,489,0.30890713834491473,3.520,6562,1046
catalysts,2020,1489,543,0.2672244094488189,4.146,12538,1445
catalysts,2021,1558,415,0.21033958438925493,4.501,20129,1462
catalysts,2022,1718,472,0.21552511415525114,NA,NA,NA
catalysts,2023,226,54,0.19285714285714287,NA,NA,NA
cells,2013,38,10,0.20833333333333334,NA,NA,NA
cells,2014,59,9,0.1323529411764706,NA,NA,NA
cells,2015,41,21,0.3387096774193548,NA,NA,NA
cells,2016,45,10,0.18181818181818182,NA,NA,NA
cells,2017,50,22,0.3055555555555556,4.829,1005,46
cells,2018,292,318,0.521311475409836,5.656,1412,274
cells,2019,1749,1925,0.5239520958083832,4.366,4034,1642
cells,2020,2675,1970,0.4241119483315393,6.600,18802,2663
cells,2021,3682,1656,0.3102285500187336,7.666,40461,3478
cells,2022,4181,2304,0.35528141865844254,NA,NA,NA
cells,2023,291,435,0.5991735537190083,NA,NA,NA
chemosensors,2013,6,7,0.5384615384615384,NA,NA,NA
chemosensors,2014,19,5,0.20833333333333334,NA,NA,NA
chemosensors,2015,21,17,0.4473684210526316,NA,NA,NA
chemosensors,2016,25,17,0.40476190476190477,NA,NA,NA
chemosensors,2017,35,4,0.10256410256410256,NA,NA,NA
chemosensors,2018,67,10,0.12987012987012986,NA,NA,NA
chemosensors,2019,71,14,0.16470588235294117,3.108,524,64
chemosensors,2020,137,66,0.3251231527093596,3.398,875,130
chemosensors,2021,370,178,0.3248175182481752,4.229,1825,359
chemosensors,2022,560,181,0.24426450742240216,NA,NA,NA
chemosensors,2023,69,27,0.28125,NA,NA,NA
children,2013,2,3,0.6,NA,NA,NA
children,2014,31,18,0.3673469387755102,NA,NA,NA
children,2015,30,20,0.4,NA,NA,NA
children,2016,45,31,0.40789473684210525,NA,NA,NA
children,2017,118,74,0.3854166666666667,NA,NA,NA
children,2018,170,74,0.30327868852459017,NA,NA,NA
children,2019,136,56,0.2916666666666667,2.078,811,129
children,2020,327,386,0.541374474053296,2.863,1628,307
children,2021,1219,544,0.3085649461145774,2.835,3175,1162
children,2022,2058,885,0.3007135575942915,NA,NA,NA
children,2023,193,146,0.4306784660766962,NA,NA,NA
coatings,2013,18,14,0.4375,NA,NA,NA
coatings,2014,43,25,0.36764705882352944,NA,NA,NA
coatings,2015,57,23,0.2875,NA,NA,NA
coatings,2016,74,17,0.18681318681318682,2.175,315,66
coatings,2017,251,118,0.31978319783197834,2.350,675,237
coatings,2018,476,401,0.4572405929304447,2.330,1400,465
coatings,2019,873,222,0.20273972602739726,2.436,3019,858
coatings,2020,1278,308,0.19419924337957126,2.881,6391,1244
coatings,2021,1579,381,0.19438775510204082,3.236,11497,1505
coatings,2022,2027,825,0.28927068723702665,NA,NA,NA
coatings,2023,239,118,0.33053221288515405,NA,NA,NA
crystals,2013,32,5,0.13513513513513514,NA,NA,NA
crystals,2014,38,5,0.11627906976744186,NA,NA,NA
crystals,2015,54,15,0.21739130434782608,NA,NA,NA
crystals,2016,167,64,0.27705627705627706,1.566,417,161
crystals,2017,386,174,0.3107142857142857,2.144,911,377
crystals,2018,487,194,0.28487518355359764,2.061,1829,465
crystals,2019,672,228,0.25333333333333335,2.404,3142,659
crystals,2020,1188,370,0.2374839537869063,2.589,5581,1110
crystals,2021,1612,581,0.2649338805289558,2.670,9024,1537
crystals,2022,1863,880,0.3208166241341597,NA,NA,NA
crystals,2023,176,90,0.3383458646616541,NA,NA,NA
cimb,2021,180,285,0.6129032258064516,2.976,1249,200
cimb,2022,447,649,0.5921532846715328,NA,NA,NA
cimb,2023,52,69,0.5702479338842975,NA,NA,NA
curroncol,2020,188,117,0.3836065573770492,3.677,3567,141
curroncol,2021,445,875,0.6628787878787878,3.109,4079,437
curroncol,2022,811,1363,0.6269549218031278,NA,NA,NA
curroncol,2023,89,192,0.6832740213523132,NA,NA,NA
diagnostics,2013,25,11,0.3055555555555556,NA,NA,NA
diagnostics,2014,12,4,0.25,NA,NA,NA
diagnostics,2015,40,21,0.3442622950819672,NA,NA,NA
diagnostics,2016,44,23,0.34328358208955223,NA,NA,NA
diagnostics,2017,60,37,0.38144329896907214,NA,NA,NA
diagnostics,2018,89,24,0.21238938053097345,2.489,533,81
diagnostics,2019,240,259,0.5190380761523046,3.110,850,212
diagnostics,2020,1146,1438,0.5565015479876161,3.706,2557,1069
diagnostics,2021,2445,2391,0.4944168734491315,3.992,8370,2270
diagnostics,2022,3270,2720,0.4540901502504174,NA,NA,NA
diagnostics,2023,389,354,0.47644683714670255,NA,NA,NA
diversity,2013,45,19,0.296875,NA,NA,NA
diversity,2014,35,13,0.2708333333333333,NA,NA,NA
diversity,2015,25,13,0.34210526315789475,NA,NA,NA
diversity,2016,31,14,0.3111111111111111,NA,NA,NA
diversity,2017,55,37,0.40217391304347827,NA,NA,NA
diversity,2018,132,49,0.27071823204419887,2.047,907,125
diversity,2019,262,163,0.3835294117647059,1.402,1104,244
diversity,2020,481,311,0.3926767676767677,2.465,2326,456
diversity,2021,700,353,0.3352326685660019,3.031,3884,638
diversity,2022,1163,618,0.34699606962380686,NA,NA,NA
diversity,2023,146,100,0.4065040650406504,NA,NA,NA
electronics,2013,17,25,0.5952380952380952,NA,NA,NA
electronics,2014,45,46,0.5054945054945055,NA,NA,NA
electronics,2015,58,123,0.6795580110497238,NA,NA,NA
electronics,2016,97,316,0.7651331719128329,NA,NA,NA
electronics,2017,106,185,0.6357388316151202,2.110,556,103
electronics,2018,482,1121,0.6993137866500312,1.764,975,446
electronics,2019,1589,2506,0.611965811965812,2.412,3021,1533
electronics,2020,2215,3153,0.5873695976154992,2.397,7096,2179
electronics,2021,3250,2499,0.4346842929205079,2.690,14393,3110
electronics,2022,4319,3138,0.4208126592463457,NA,NA,NA
electronics,2023,504,472,0.48360655737704916,NA,NA,NA
energies,2012,296,91,0.2351421188630491,NA,NA,NA
energies,2013,347,796,0.6964129483814523,NA,NA,NA
energies,2014,435,845,0.66015625,NA,NA,NA
energies,2015,744,1178,0.6129032258064516,NA,NA,NA
energies,2016,1106,1729,0.6098765432098765,2.262,6414,1082
energies,2017,2208,3049,0.5799885866463763,2.676,11350,2161
energies,2018,3609,4726,0.5670065986802639,2.707,19625,3515
energies,2019,4862,6705,0.5796662920376935,2.702,29605,4783
energies,2020,6760,6727,0.498776599688589,3.004,48855,6715
energies,2021,8699,5590,0.3912100216950101,3.252,76498,8369
energies,2022,9843,6378,0.3931940077677085,NA,NA,NA
energies,2023,950,641,0.40289126335637965,NA,NA,NA
entropy,2012,137,10,0.06802721088435375,NA,NA,NA
entropy,2013,284,222,0.43873517786561267,NA,NA,NA
entropy,2014,328,251,0.43350604490500866,NA,NA,NA
entropy,2015,453,509,0.5291060291060291,NA,NA,NA
entropy,2016,459,489,0.5158227848101266,1.821,3243,444
entropy,2017,693,808,0.5383077948034644,2.305,4812,684
entropy,2018,999,1122,0.5289957567185289,2.419,7232,959
entropy,2019,1274,1428,0.5284974093264249,2.494,9810,1212
entropy,2020,1443,1462,0.5032702237521515,2.524,13417,1402
entropy,2021,1717,1678,0.49425625920471283,2.738,17367,1653
entropy,2022,1867,1975,0.5140551795939615,NA,NA,NA
entropy,2023,179,181,0.5027777777777778,NA,NA,NA
fermentation,2014,1,NA,NA,NA,NA,NA
fermentation,2015,9,9,0.5,NA,NA,NA
fermentation,2016,23,18,0.43902439024390244,NA,NA,NA
fermentation,2017,65,29,0.30851063829787234,NA,NA,NA
fermentation,2018,107,60,0.3592814371257485,NA,NA,NA
fermentation,2019,102,29,0.22137404580152673,NA,NA,NA
fermentation,2020,127,59,0.3172043010752688,3.975,1330,121
fermentation,2021,335,144,0.30062630480167013,5.123,2420,310
fermentation,2022,776,421,0.3517126148705096,NA,NA,NA
fermentation,2023,103,66,0.3905325443786982,NA,NA,NA
foods,2013,53,52,0.49523809523809526,NA,NA,NA
foods,2014,39,24,0.38095238095238093,NA,NA,NA
foods,2015,52,30,0.36585365853658536,NA,NA,NA
foods,2016,86,34,0.2833333333333333,NA,NA,NA
foods,2017,113,41,0.2662337662337662,NA,NA,NA
foods,2018,216,123,0.36283185840707965,3.011,1095,202
foods,2019,716,1023,0.5882691201840138,4.092,2368,681
foods,2020,1953,2855,0.593801996672213,4.350,7819,1856
foods,2021,3194,3704,0.5369672368802552,5.561,20947,3057
foods,2022,4187,3758,0.47300188797986153,NA,NA,NA
foods,2023,423,346,0.44993498049414826,NA,NA,NA
forests,2013,67,96,0.588957055214724,NA,NA,NA
forests,2014,173,235,0.5759803921568627,NA,NA,NA
forests,2015,250,312,0.5551601423487544,NA,NA,NA
forests,2016,329,408,0.55359565807327,1.951,1332,311
forests,2017,502,519,0.5083251714005876,1.956,2285,497
forests,2018,792,858,0.52,2.116,3816,778
forests,2019,1190,1557,0.5668001456133964,2.221,6013,1148
forests,2020,1372,1553,0.530940170940171,2.634,10348,1352
forests,2021,1798,1415,0.44039838157485217,3.282,16362,1761
forests,2022,2230,1462,0.3959913326110509,NA,NA,NA
forests,2023,202,148,0.4228571428571429,NA,NA,NA
fractalfract,2017,18,15,0.45454545454545453,NA,NA,NA
fractalfract,2018,29,27,0.48214285714285715,NA,NA,NA
fractalfract,2019,56,75,0.5725190839694656,NA,NA,NA
fractalfract,2020,60,46,0.4339622641509434,3.313,512,58
fractalfract,2021,304,565,0.6501726121979287,3.577,928,276
fractalfract,2022,776,1688,0.685064935064935,NA,NA,NA
fractalfract,2023,85,164,0.6586345381526104,NA,NA,NA
gels,2014,1,1,0.5,NA,NA,NA
gels,2015,18,4,0.18181818181818182,NA,NA,NA
gels,2016,29,11,0.275,NA,NA,NA
gels,2017,50,12,0.1935483870967742,NA,NA,NA
