journal,year,volume,issue,article,SI,DOI,event,date
Biomimetics,2017,2,1,1,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics2010001,Published,2017-01-23
Biomimetics,2017,2,1,2,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics2010002,Received,2016-12-31
Biomimetics,2017,2,1,2,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics2010002,Revised,2017-02-12
Biomimetics,2017,2,1,2,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics2010002,Accepted,2017-02-16
Biomimetics,2017,2,1,2,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics2010002,Published,2017-02-23
Biomimetics,2017,2,1,3,Normal Issue,https://doi.org/10.3390/biomimetics2010003,Received,2017-01-31
Biomimetics,2017,2,1,3,Normal Issue,https://doi.org/10.3390/biomimetics2010003,Revised,2017-02-27
Biomimetics,2017,2,1,3,Normal Issue,https://doi.org/10.3390/biomimetics2010003,Accepted,2017-03-06
Biomimetics,2017,2,1,3,Normal Issue,https://doi.org/10.3390/biomimetics2010003,Published,2017-03-14
Biomimetics,2017,2,2,4,"
(This article belongs to the Special Issue Extreme Biomimetics)",https://doi.org/10.3390/biomimetics2020004,Received,2017-02-09
Biomimetics,2017,2,2,4,"
(This article belongs to the Special Issue Extreme Biomimetics)",https://doi.org/10.3390/biomimetics2020004,Revised,2017-03-20
Biomimetics,2017,2,2,4,"
(This article belongs to the Special Issue Extreme Biomimetics)",https://doi.org/10.3390/biomimetics2020004,Accepted,2017-03-21
Biomimetics,2017,2,2,4,"
(This article belongs to the Special Issue Extreme Biomimetics)",https://doi.org/10.3390/biomimetics2020004,Published,2017-03-25
Biomimetics,2017,2,2,5,Normal Issue,https://doi.org/10.3390/biomimetics2020005,Received,2017-04-04
Biomimetics,2017,2,2,5,Normal Issue,https://doi.org/10.3390/biomimetics2020005,Accepted,2017-04-06
Biomimetics,2017,2,2,5,Normal Issue,https://doi.org/10.3390/biomimetics2020005,Published,2017-04-11
Biomimetics,2017,2,2,6,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2020006,Received,2017-02-22
Biomimetics,2017,2,2,6,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2020006,Revised,2017-05-03
Biomimetics,2017,2,2,6,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2020006,Accepted,2017-05-04
Biomimetics,2017,2,2,6,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2020006,Published,2017-05-09
Biomimetics,2017,2,2,7,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2020007,Received,2017-03-24
Biomimetics,2017,2,2,7,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2020007,Revised,2017-05-11
Biomimetics,2017,2,2,7,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2020007,Accepted,2017-05-16
Biomimetics,2017,2,2,7,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2020007,Published,2017-05-26
Biomimetics,2017,2,2,8,"
(This article belongs to the Special Issue Extreme Biomimetics)",https://doi.org/10.3390/biomimetics2020008,Received,2017-03-01
Biomimetics,2017,2,2,8,"
(This article belongs to the Special Issue Extreme Biomimetics)",https://doi.org/10.3390/biomimetics2020008,Revised,2017-05-14
Biomimetics,2017,2,2,8,"
(This article belongs to the Special Issue Extreme Biomimetics)",https://doi.org/10.3390/biomimetics2020008,Accepted,2017-05-18
Biomimetics,2017,2,2,8,"
(This article belongs to the Special Issue Extreme Biomimetics)",https://doi.org/10.3390/biomimetics2020008,Published,2017-05-31
Biomimetics,2017,2,3,9,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030009,Received,2017-05-30
Biomimetics,2017,2,3,9,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030009,Revised,2017-06-19
Biomimetics,2017,2,3,9,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030009,Accepted,2017-06-22
Biomimetics,2017,2,3,9,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030009,Published,2017-06-27
Biomimetics,2017,2,3,10,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics2030010,Received,2017-02-28
Biomimetics,2017,2,3,10,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics2030010,Revised,2017-05-24
Biomimetics,2017,2,3,10,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics2030010,Accepted,2017-06-24
Biomimetics,2017,2,3,10,"
(This article belongs to the Special Issue Micro- and Nano-Structured Bio-Inspired Surfaces)",https://doi.org/10.3390/biomimetics2030010,Published,2017-06-29
Biomimetics,2017,2,3,11,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030011,Received,2017-05-31
Biomimetics,2017,2,3,11,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030011,Revised,2017-06-21
Biomimetics,2017,2,3,11,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030011,Accepted,2017-06-23
Biomimetics,2017,2,3,11,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030011,Published,2017-07-03
Biomimetics,2017,2,3,12,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030012,Received,2017-05-08
Biomimetics,2017,2,3,12,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030012,Revised,2017-06-24
Biomimetics,2017,2,3,12,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030012,Accepted,2017-06-26
Biomimetics,2017,2,3,12,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030012, Published,2017-07-06
Biomimetics,2017,2,3,13,"
(This article belongs to the Special Issue Extreme Biomimetics)",https://doi.org/10.3390/biomimetics2030013,"
Received",2017-05-24
Biomimetics,2017,2,3,13,"
(This article belongs to the Special Issue Extreme Biomimetics)",https://doi.org/10.3390/biomimetics2030013,Revised,2017-07-11
Biomimetics,2017,2,3,13,"
(This article belongs to the Special Issue Extreme Biomimetics)",https://doi.org/10.3390/biomimetics2030013,Accepted,2017-07-12
Biomimetics,2017,2,3,13,"
(This article belongs to the Special Issue Extreme Biomimetics)",https://doi.org/10.3390/biomimetics2030013,Published,2017-07-14
Biomimetics,2017,2,3,14,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2030014,Received,2017-05-22
Biomimetics,2017,2,3,14,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2030014,Revised,2017-07-18
Biomimetics,2017,2,3,14,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2030014,Accepted,2017-08-01
Biomimetics,2017,2,3,14,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2030014,Published,2017-08-08
Biomimetics,2017,2,3,15,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030015,Received,2017-07-24
Biomimetics,2017,2,3,15,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030015,Revised,2017-08-04
Biomimetics,2017,2,3,15,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030015,Accepted,2017-08-09
Biomimetics,2017,2,3,15,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030015,Published,2017-08-10
Biomimetics,2017,2,3,16,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030016,Received,2017-07-26
Biomimetics,2017,2,3,16,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030016,Revised,2017-08-17
Biomimetics,2017,2,3,16,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030016,Accepted,2017-08-17
Biomimetics,2017,2,3,16,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030016,Published,2017-08-21
Biomimetics,2017,2,3,17,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030017,Received,2017-06-19
Biomimetics,2017,2,3,17,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030017,Revised,2017-08-29
Biomimetics,2017,2,3,17,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030017,Accepted,2017-08-30
Biomimetics,2017,2,3,17,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030017,Published,2017-09-06
Biomimetics,2017,2,3,18,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030018,Received,2017-06-21
Biomimetics,2017,2,3,18,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030018,Revised,2017-09-04
Biomimetics,2017,2,3,18,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030018,Accepted,2017-09-05
Biomimetics,2017,2,3,18,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2030018,Published,2017-09-13
Biomimetics,2017,2,4,19,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040019,Received,2017-07-07
Biomimetics,2017,2,4,19,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040019,Revised,2017-09-12
Biomimetics,2017,2,4,19,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040019,Accepted,2017-09-25
Biomimetics,2017,2,4,19,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040019,Published,2017-10-05
Biomimetics,2017,2,4,20,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2040020,Received,2017-08-10
Biomimetics,2017,2,4,20,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2040020,Revised,2017-10-16
Biomimetics,2017,2,4,20,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2040020,Accepted,2017-10-18
Biomimetics,2017,2,4,20,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2040020,Published,2017-10-20
Biomimetics,2017,2,4,21,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040021,Received,2017-08-19
Biomimetics,2017,2,4,21,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040021,Revised,2017-10-24
Biomimetics,2017,2,4,21,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040021,Accepted,2017-10-26
Biomimetics,2017,2,4,21,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040021,Published,2017-11-07
Biomimetics,2017,2,4,22,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040022,Received,2017-10-06
Biomimetics,2017,2,4,22,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040022,Revised,2017-11-02
Biomimetics,2017,2,4,22,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040022,Accepted,2017-11-07
Biomimetics,2017,2,4,22,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040022,Published,2017-11-13
Biomimetics,2017,2,4,23,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040023,Received,2017-08-25
Biomimetics,2017,2,4,23,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040023,Revised,2017-10-30
Biomimetics,2017,2,4,23,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040023,Accepted,2017-11-02
Biomimetics,2017,2,4,23,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040023,Published,2017-11-13
Biomimetics,2017,2,4,24,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2040024,Received,2017-09-15
Biomimetics,2017,2,4,24,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2040024,Revised,2017-11-23
Biomimetics,2017,2,4,24,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2040024,Accepted,2017-11-30
Biomimetics,2017,2,4,24,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics2040024,Published,2017-12-13
Biomimetics,2017,2,4,25,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040025,Received,2017-12-18
Biomimetics,2017,2,4,25,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040025,Revised,2017-12-19
Biomimetics,2017,2,4,25,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040025,Accepted,2017-12-19
Biomimetics,2017,2,4,25,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics2040025,Published,2017-12-20
Biomimetics,2018,3,1,1,Normal Issue,https://doi.org/10.3390/biomimetics3010001,Received,2018-01-12
Biomimetics,2018,3,1,1,Normal Issue,https://doi.org/10.3390/biomimetics3010001,Revised,2018-01-12
Biomimetics,2018,3,1,1,Normal Issue,https://doi.org/10.3390/biomimetics3010001,Accepted,2018-01-15
Biomimetics,2018,3,1,1,Normal Issue,https://doi.org/10.3390/biomimetics3010001,Published,2018-01-15
Biomimetics,2018,3,1,2,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3010002,Received,2017-12-05
Biomimetics,2018,3,1,2,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3010002,Revised,2018-01-09
Biomimetics,2018,3,1,2,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3010002,Accepted,2018-01-13
Biomimetics,2018,3,1,2,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3010002,Published,2018-01-18
Biomimetics,2018,3,1,3,"
(This article belongs to the Special Issue Soft Robotics)",https://doi.org/10.3390/biomimetics3010003,Received,2017-12-18
Biomimetics,2018,3,1,3,"
(This article belongs to the Special Issue Soft Robotics)",https://doi.org/10.3390/biomimetics3010003,Revised,2018-01-20
Biomimetics,2018,3,1,3,"
(This article belongs to the Special Issue Soft Robotics)",https://doi.org/10.3390/biomimetics3010003,Accepted,2018-02-02
Biomimetics,2018,3,1,3,"
(This article belongs to the Special Issue Soft Robotics)",https://doi.org/10.3390/biomimetics3010003,Published,2018-02-14
Biomimetics,2018,3,1,4,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3010004,Received,2018-01-22
Biomimetics,2018,3,1,4,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3010004,Revised,2018-02-21
Biomimetics,2018,3,1,4,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3010004,Accepted,2018-03-06
Biomimetics,2018,3,1,4,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3010004,Published,2018-03-07
Biomimetics,2018,3,2,5,Normal Issue,https://doi.org/10.3390/biomimetics3020005,Received,2018-01-26
Biomimetics,2018,3,2,5,Normal Issue,https://doi.org/10.3390/biomimetics3020005,Revised,2018-02-28
Biomimetics,2018,3,2,5,Normal Issue,https://doi.org/10.3390/biomimetics3020005,Accepted,2018-03-22
Biomimetics,2018,3,2,5,Normal Issue,https://doi.org/10.3390/biomimetics3020005,Published,2018-03-30
Biomimetics,2018,3,2,6,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3020006,Received,2018-02-16
Biomimetics,2018,3,2,6,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3020006,Revised,2018-03-18
Biomimetics,2018,3,2,6,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3020006,Accepted,2018-03-20
Biomimetics,2018,3,2,6,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3020006,Published,2018-04-04
Biomimetics,2018,3,2,7,"

(This article belongs to the Special Issue Bioinspired Microfluidics)",https://doi.org/10.3390/biomimetics3020007,Received,2018-01-04
Biomimetics,2018,3,2,7,"

(This article belongs to the Special Issue Bioinspired Microfluidics)",https://doi.org/10.3390/biomimetics3020007,Revised,2018-03-31
Biomimetics,2018,3,2,7,"

(This article belongs to the Special Issue Bioinspired Microfluidics)",https://doi.org/10.3390/biomimetics3020007,Accepted,2018-04-09
Biomimetics,2018,3,2,7,"

(This article belongs to the Special Issue Bioinspired Microfluidics)",https://doi.org/10.3390/biomimetics3020007,Published,2018-04-12
Biomimetics,2018,3,2,8,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3020008,Received,2018-04-10
Biomimetics,2018,3,2,8,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3020008,Revised,2018-04-14
Biomimetics,2018,3,2,8,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3020008,Accepted,2018-04-17
Biomimetics,2018,3,2,8,"
(This article belongs to the Special Issue Biomimetic Nanotechnology)",https://doi.org/10.3390/biomimetics3020008,Published,2018-04-17
Biomimetics,2018,3,2,9,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics3020009,Received,2018-05-03
Biomimetics,2018,3,2,9,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics3020009,Revised,2018-05-06
Biomimetics,2018,3,2,9,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics3020009,Accepted,2018-05-07
Biomimetics,2018,3,2,9,"
(This article belongs to the Special Issue Bioinspired Catechol-Based Systems: Chemistry and Applications)",https://doi.org/10.3390/biomimetics3020009,Published,2018-05-07
Biomimetics,2018,3,2,10,Normal Issue,https://doi.org/10.3390/biomimetics3020010,Received,2018-05-03
Biomimetics,2018,3,2,10,Normal Issue,https://doi.org/10.3390/biomimetics3020010,Revised,2018-05-07
Biomimetics,2018,3,2,10,Normal Issue,https://doi.org/10.3390/biomimetics3020010,Accepted,2018-05-07
Biomimetics,2018,3,2,10,Normal Issue,https://doi.org/10.3390/biomimetics3020010,Published,2018-05-09
Biomimetics,2018,3,2,11,Normal Issue,https://doi.org/10.3390/biomimetics3020011,Received,2018-05-16
Biomimetics,2018,3,2,11,Normal Issue,https://doi.org/10.3390/biomimetics3020011,Revised,2018-05-17
Biomimetics,2018,3,2,11,Normal Issue,https://doi.org/10.3390/biomimetics3020011,Accepted,2018-05-17
Biomimetics,2018,3,2,11,Normal Issue,https://doi.org/10.3390/biomimetics3020011,Published,2018-05-29
Biomimetics,2018,3,2,12,Normal Issue,https://doi.org/10.3390/biomimetics3020012,Received,2018-04-15
Biomimetics,2018,3,2,12,Normal Issue,https://doi.org/10.3390/biomimetics3020012,Revised,2018-05-28
Biomimetics,2018,3,2,12,Normal Issue,https://doi.org/10.3390/biomimetics3020012,Accepted,2018-05-31
Biomimetics,2018,3,2,12,Normal Issue,https://doi.org/10.3390/biomimetics3020012,Published,2018-06-08
Biomimetics,2018,3,2,13,"
(This article belongs to the Special Issue Selected Papers from NanoBio&Med 2017)",https://doi.org/10.3390/biomimetics3020013,Received,2018-05-07
Biomimetics,2018,3,2,13,"
(This article belongs to the Special Issue Selected Papers from NanoBio&Med 2017)",https://doi.org/10.3390/biomimetics3020013,Revised,2018-06-07
Biomimetics,2018,3,2,13,"
(This article belongs to the Special Issue Selected Papers from NanoBio&Med 2017)",https://doi.org/10.3390/biomimetics3020013,Accepted,2018-06-12
Biomimetics,2018,3,2,13,"
(This article belongs to the Special Issue Selected Papers from NanoBio&Med 2017)",https://doi.org/10.3390/biomimetics3020013,Published,2018-06-16
Biomimetics,2018,3,3,14,Normal Issue,https://doi.org/10.3390/biomimetics3030014,Received,2018-04-06
