journal,ISSN,volume,issue,narticles
aerospace,2226-4310,7,11,14
aerospace,2226-4310,7,12,16
aerospace,2226-4310,8,1,23
aerospace,2226-4310,8,2,34
aerospace,2226-4310,8,3,32
aerospace,2226-4310,8,4,30
aerospace,2226-4310,8,5,25
aerospace,2226-4310,8,6,25
aerospace,2226-4310,8,7,27
aerospace,2226-4310,8,8,36
aerospace,2226-4310,8,9,42
aerospace,2226-4310,8,10,36
aerospace,2226-4310,8,11,46
aerospace,2226-4310,8,12,45
aerospace,2226-4310,9,1,45
aerospace,2226-4310,9,2,70
aerospace,2226-4310,9,3,58
aerospace,2226-4310,9,4,52
aerospace,2226-4310,9,5,54
aerospace,2226-4310,9,6,52
aerospace,2226-4310,9,7,63
aerospace,2226-4310,9,8,74
aerospace,2226-4310,9,9,59
aerospace,2226-4310,9,10,103
aerospace,2226-4310,9,11,107
aerospace,2226-4310,9,12,113
aerospace,2226-4310,10,1,90
aerospace,2226-4310,10,2,113
aerospace,2226-4310,10,3,4
agriculture,2077-0472,7,1,7
agriculture,2077-0472,7,2,8
agriculture,2077-0472,7,3,15
agriculture,2077-0472,7,4,6
agriculture,2077-0472,7,5,9
agriculture,2077-0472,7,6,5
agriculture,2077-0472,7,7,11
agriculture,2077-0472,7,8,10
agriculture,2077-0472,7,9,6
agriculture,2077-0472,7,10,11
agriculture,2077-0472,7,11,6
agriculture,2077-0472,7,12,9
agriculture,2077-0472,8,1,17
agriculture,2077-0472,8,2,13
agriculture,2077-0472,8,3,14
agriculture,2077-0472,8,4,17
agriculture,2077-0472,8,5,9
agriculture,2077-0472,8,6,16
agriculture,2077-0472,8,7,30
agriculture,2077-0472,8,8,12
agriculture,2077-0472,8,9,17
agriculture,2077-0472,8,10,20
agriculture,2077-0472,8,11,17
agriculture,2077-0472,8,12,19
agriculture,2077-0472,9,1,24
agriculture,2077-0472,9,2,19
agriculture,2077-0472,9,3,24
agriculture,2077-0472,9,4,18
agriculture,2077-0472,9,5,27
agriculture,2077-0472,9,6,21
agriculture,2077-0472,9,7,28
agriculture,2077-0472,9,8,23
agriculture,2077-0472,9,9,21
agriculture,2077-0472,9,10,24
agriculture,2077-0472,9,11,17
agriculture,2077-0472,9,12,18
agriculture,2077-0472,10,1,27
agriculture,2077-0472,10,2,23
agriculture,2077-0472,10,3,39
agriculture,2077-0472,10,4,49
agriculture,2077-0472,10,5,52
agriculture,2077-0472,10,6,58
agriculture,2077-0472,10,7,59
agriculture,2077-0472,10,8,57
agriculture,2077-0472,10,9,58
agriculture,2077-0472,10,10,67
agriculture,2077-0472,10,11,86
agriculture,2077-0472,10,12,78
agriculture,2077-0472,11,1,82
agriculture,2077-0472,11,2,103
agriculture,2077-0472,11,3,91
agriculture,2077-0472,11,4,99
agriculture,2077-0472,11,5,92
agriculture,2077-0472,11,6,104
agriculture,2077-0472,11,7,115
agriculture,2077-0472,11,8,117
agriculture,2077-0472,11,9,101
agriculture,2077-0472,11,10,122
agriculture,2077-0472,11,11,152
agriculture,2077-0472,11,12,121
agriculture,2077-0472,12,1,122
agriculture,2077-0472,12,2,190
agriculture,2077-0472,12,3,125
agriculture,2077-0472,12,4,131
agriculture,2077-0472,12,5,170
agriculture,2077-0472,12,6,156
agriculture,2077-0472,12,7,178
agriculture,2077-0472,12,8,212
agriculture,2077-0472,12,9,225
agriculture,2077-0472,12,10,238
agriculture,2077-0472,12,11,223
agriculture,2077-0472,12,12,206
agriculture,2077-0472,13,1,225
agriculture,2077-0472,13,2,285
agriculture,2077-0472,13,3,22
agronomy,2073-4395,7,1,25
agronomy,2073-4395,7,2,19
agronomy,2073-4395,7,3,17
agronomy,2073-4395,7,4,25
agronomy,2073-4395,8,1,8
agronomy,2073-4395,8,2,16
agronomy,2073-4395,8,3,8
agronomy,2073-4395,8,4,25
agronomy,2073-4395,8,5,21
agronomy,2073-4395,8,6,18
agronomy,2073-4395,8,7,32
agronomy,2073-4395,8,8,29
agronomy,2073-4395,8,9,39
agronomy,2073-4395,8,10,38
agronomy,2073-4395,8,11,38
agronomy,2073-4395,8,12,37
agronomy,2073-4395,9,1,41
agronomy,2073-4395,9,2,69
agronomy,2073-4395,9,3,50
agronomy,2073-4395,9,4,51
agronomy,2073-4395,9,5,56
agronomy,2073-4395,9,6,73
agronomy,2073-4395,9,7,68
agronomy,2073-4395,9,8,65
agronomy,2073-4395,9,9,93
agronomy,2073-4395,9,10,100
agronomy,2073-4395,9,11,108
agronomy,2073-4395,9,12,120
agronomy,2073-4395,10,1,151
agronomy,2073-4395,10,2,163
agronomy,2073-4395,10,3,136
agronomy,2073-4395,10,4,162
agronomy,2073-4395,10,5,144
agronomy,2073-4395,10,6,161
agronomy,2073-4395,10,7,139
agronomy,2073-4395,10,8,161
agronomy,2073-4395,10,9,232
agronomy,2073-4395,10,10,169
agronomy,2073-4395,10,11,225
agronomy,2073-4395,10,12,177
agronomy,2073-4395,11,1,190
agronomy,2073-4395,11,2,215
agronomy,2073-4395,11,3,205
agronomy,2073-4395,11,4,202
agronomy,2073-4395,11,5,207
agronomy,2073-4395,11,6,243
agronomy,2073-4395,11,7,184
agronomy,2073-4395,11,8,233
agronomy,2073-4395,11,9,215
agronomy,2073-4395,11,10,197
agronomy,2073-4395,11,11,277
agronomy,2073-4395,11,12,228
agronomy,2073-4395,12,1,228
agronomy,2073-4395,12,2,313
agronomy,2073-4395,12,3,211
agronomy,2073-4395,12,4,226
agronomy,2073-4395,12,5,268
agronomy,2073-4395,12,6,236
agronomy,2073-4395,12,7,247
agronomy,2073-4395,12,8,253
agronomy,2073-4395,12,9,256
agronomy,2073-4395,12,10,353
agronomy,2073-4395,12,11,317
agronomy,2073-4395,12,12,322
agronomy,2073-4395,13,1,277
agronomy,2073-4395,13,2,336
agronomy,2073-4395,13,3,19
animals,2076-2615,7,1,5
animals,2076-2615,7,2,7
animals,2076-2615,7,3,14
animals,2076-2615,7,4,6
animals,2076-2615,7,5,8
animals,2076-2615,7,6,7
animals,2076-2615,7,7,8
animals,2076-2615,7,8,9
animals,2076-2615,7,9,8
animals,2076-2615,7,10,6
animals,2076-2615,7,11,8
animals,2076-2615,7,12,16
animals,2076-2615,8,1,15
animals,2076-2615,8,2,15
animals,2076-2615,8,3,12
animals,2076-2615,8,4,17
animals,2076-2615,8,5,19
animals,2076-2615,8,6,20
animals,2076-2615,8,7,29
animals,2076-2615,8,8,15
animals,2076-2615,8,9,17
animals,2076-2615,8,10,26
animals,2076-2615,8,11,33
animals,2076-2615,8,12,23
animals,2076-2615,9,1,31
animals,2076-2615,9,2,37
animals,2076-2615,9,3,50
animals,2076-2615,9,4,78
animals,2076-2615,9,5,87
animals,2076-2615,9,6,106
animals,2076-2615,9,7,84
animals,2076-2615,9,8,112
animals,2076-2615,9,9,118
animals,2076-2615,9,10,151
animals,2076-2615,9,11,146
animals,2076-2615,9,12,165
animals,2076-2615,10,1,174
animals,2076-2615,10,2,193
animals,2076-2615,10,3,176
animals,2076-2615,10,4,206
animals,2076-2615,10,5,169
animals,2076-2615,10,6,188
animals,2076-2615,10,7,137
animals,2076-2615,10,8,201
animals,2076-2615,10,9,274
animals,2076-2615,10,10,219
animals,2076-2615,10,11,256
animals,2076-2615,10,12,264
animals,2076-2615,11,1,242
animals,2076-2615,11,2,343
animals,2076-2615,11,3,332
animals,2076-2615,11,4,268
animals,2076-2615,11,5,292
animals,2076-2615,11,6,366
animals,2076-2615,11,7,309
animals,2076-2615,11,8,324
animals,2076-2615,11,9,280
animals,2076-2615,11,10,251
animals,2076-2615,11,11,328
animals,2076-2615,11,12,274
animals,2076-2615,12,1,126
animals,2076-2615,12,2,91
animals,2076-2615,12,3,189
animals,2076-2615,12,4,126
animals,2076-2615,12,5,138
animals,2076-2615,12,6,127
animals,2076-2615,12,7,143
animals,2076-2615,12,8,109
animals,2076-2615,12,9,174
animals,2076-2615,12,10,110
animals,2076-2615,12,11,139
animals,2076-2615,12,12,122
animals,2076-2615,12,13,141
animals,2076-2615,12,14,133
animals,2076-2615,12,15,141
animals,2076-2615,12,16,149
animals,2076-2615,12,17,147
animals,2076-2615,12,18,180
animals,2076-2615,12,19,239
animals,2076-2615,12,20,168
animals,2076-2615,12,21,173
animals,2076-2615,12,22,164
animals,2076-2615,12,23,216
animals,2076-2615,12,24,148
animals,2076-2615,13,1,184
animals,2076-2615,13,2,138
animals,2076-2615,13,3,225
animals,2076-2615,13,4,223
animals,2076-2615,13,5,30
antibiotics,2079-6382,6,1,10
antibiotics,2079-6382,6,2,2
antibiotics,2079-6382,6,3,7
antibiotics,2079-6382,6,4,20
antibiotics,2079-6382,7,1,26
antibiotics,2079-6382,7,2,24
antibiotics,2079-6382,7,3,34
antibiotics,2079-6382,7,4,28
antibiotics,2079-6382,8,1,33
antibiotics,2079-6382,8,2,51
antibiotics,2079-6382,8,3,71
antibiotics,2079-6382,8,4,115
antibiotics,2079-6382,9,1,38
antibiotics,2079-6382,9,2,59
antibiotics,2079-6382,9,3,39
antibiotics,2079-6382,9,4,72
antibiotics,2079-6382,9,5,69
antibiotics,2079-6382,9,6,85
antibiotics,2079-6382,9,7,69
antibiotics,2079-6382,9,8,94
antibiotics,2079-6382,9,9,109
antibiotics,2079-6382,9,10,89
antibiotics,2079-6382,9,11,114
antibiotics,2079-6382,9,12,94
antibiotics,2079-6382,10,1,95
antibiotics,2079-6382,10,2,130
antibiotics,2079-6382,10,3,117
antibiotics,2079-6382,10,4,127
antibiotics,2079-6382,10,5,141
antibiotics,2079-6382,10,6,139
antibiotics,2079-6382,10,7,135
antibiotics,2079-6382,10,8,142
antibiotics,2079-6382,10,9,116
antibiotics,2079-6382,10,10,132
antibiotics,2079-6382,10,11,155
antibiotics,2079-6382,10,12,132
antibiotics,2079-6382,11,1,121
antibiotics,2079-6382,11,2,163
antibiotics,2079-6382,11,3,138
antibiotics,2079-6382,11,4,113
antibiotics,2079-6382,11,5,168
antibiotics,2079-6382,11,6,126
antibiotics,2079-6382,11,7,153
antibiotics,2079-6382,11,8,157
antibiotics,2079-6382,11,9,134
antibiotics,2079-6382,11,10,179
antibiotics,2079-6382,11,11,223
antibiotics,2079-6382,11,12,171
antibiotics,2079-6382,12,1,184
antibiotics,2079-6382,12,2,239
antibiotics,2079-6382,12,3,15
antioxidants,2076-3921,6,1,21
antioxidants,2076-3921,6,2,22
antioxidants,2076-3921,6,3,29
antioxidants,2076-3921,6,4,32
antioxidants,2076-3921,7,1,21
antioxidants,2076-3921,7,2,12
antioxidants,2076-3921,7,3,11
antioxidants,2076-3921,7,4,16
antioxidants,2076-3921,7,5,10
antioxidants,2076-3921,7,6,7
antioxidants,2076-3921,7,7,18
antioxidants,2076-3921,7,8,14
antioxidants,2076-3921,7,9,14
antioxidants,2076-3921,7,10,25
antioxidants,2076-3921,7,11,21
antioxidants,2076-3921,7,12,28
antioxidants,2076-3921,8,1,28
antioxidants,2076-3921,8,2,23
antioxidants,2076-3921,8,3,25
antioxidants,2076-3921,8,4,34
antioxidants,2076-3921,8,5,38
antioxidants,2076-3921,8,6,49
antioxidants,2076-3921,8,7,40
antioxidants,2076-3921,8,8,88
antioxidants,2076-3921,8,9,92
antioxidants,2076-3921,8,10,87
antioxidants,2076-3921,8,11,63
antioxidants,2076-3921,8,12,83
antioxidants,2076-3921,9,1,88
antioxidants,2076-3921,9,2,99
antioxidants,2076-3921,9,3,81
antioxidants,2076-3921,9,4,89
antioxidants,2076-3921,9,5,99
antioxidants,2076-3921,9,6,105
antioxidants,2076-3921,9,7,83
antioxidants,2076-3921,9,8,125
antioxidants,2076-3921,9,9,135
antioxidants,2076-3921,9,10,124
antioxidants,2076-3921,9,11,141
antioxidants,2076-3921,9,12,143
antioxidants,2076-3921,10,1,138
antioxidants,2076-3921,10,2,196
antioxidants,2076-3921,10,3,166
antioxidants,2076-3921,10,4,129
antioxidants,2076-3921,10,5,190
antioxidants,2076-3921,10,6,172
antioxidants,2076-3921,10,7,164
antioxidants,2076-3921,10,8,173
antioxidants,2076-3921,10,9,173
antioxidants,2076-3921,10,10,142
antioxidants,2076-3921,10,11,213
antioxidants,2076-3921,10,12,175
antioxidants,2076-3921,11,1,176
antioxidants,2076-3921,11,2,259
antioxidants,2076-3921,11,3,167
antioxidants,2076-3921,11,4,194
antioxidants,2076-3921,11,5,238
antioxidants,2076-3921,11,6,179
antioxidants,2076-3921,11,7,205
antioxidants,2076-3921,11,8,212
antioxidants,2076-3921,11,9,215
antioxidants,2076-3921,11,10,236
antioxidants,2076-3921,11,11,223
antioxidants,2076-3921,11,12,196
antioxidants,2076-3921,12,1,211
antioxidants,2076-3921,12,2,325
antioxidants,2076-3921,12,3,17
applsci,2076-3417,7,1,108
applsci,2076-3417,7,2,101
applsci,2076-3417,7,3,101
applsci,2076-3417,7,4,121
applsci,2076-3417,7,5,92
applsci,2076-3417,7,6,119
applsci,2076-3417,7,7,107
applsci,2076-3417,7,8,114
applsci,2076-3417,7,9,98
applsci,2076-3417,7,10,140
applsci,2076-3417,7,11,103
applsci,2076-3417,7,12,127
applsci,2076-3417,8,1,148
applsci,2076-3417,8,2,169
applsci,2076-3417,8,3,156
applsci,2076-3417,8,4,180
applsci,2076-3417,8,5,188
applsci,2076-3417,8,6,169
applsci,2076-3417,8,7,200
applsci,2076-3417,8,8,201
applsci,2076-3417,8,9,294
applsci,2076-3417,8,10,305
applsci,2076-3417,8,11,322
applsci,2076-3417,8,12,371
applsci,2076-3417,9,1,210
applsci,2076-3417,9,2,149
applsci,2076-3417,9,3,255
applsci,2076-3417,9,4,199
applsci,2076-3417,9,5,222
applsci,2076-3417,9,6,230
applsci,2076-3417,9,7,250
applsci,2076-3417,9,8,206
applsci,2076-3417,9,9,244
applsci,2076-3417,9,10,207
applsci,2076-3417,9,11,219
applsci,2076-3417,9,12,188
applsci,2076-3417,9,13,193
applsci,2076-3417,9,14,173
applsci,2076-3417,9,15,261
applsci,2076-3417,9,16,232
applsci,2076-3417,9,17,201
applsci,2076-3417,9,18,302
applsci,2076-3417,9,19,256
applsci,2076-3417,9,20,278
applsci,2076-3417,9,21,248
applsci,2076-3417,9,22,255
applsci,2076-3417,9,23,287
applsci,2076-3417,9,24,309
applsci,2076-3417,10,1,424
applsci,2076-3417,10,2,305
applsci,2076-3417,10,3,463
applsci,2076-3417,10,4,359
applsci,2076-3417,10,5,347
applsci,2076-3417,10,6,302
applsci,2076-3417,10,7,436
applsci,2076-3417,10,8,351
applsci,2076-3417,10,9,352
applsci,2076-3417,10,10,324
applsci,2076-3417,10,11,391
applsci,2076-3417,10,12,360
applsci,2076-3417,10,13,272
applsci,2076-3417,10,14,336
applsci,2076-3417,10,15,373
applsci,2076-3417,10,16,330
applsci,2076-3417,10,17,419
applsci,2076-3417,10,18,483
applsci,2076-3417,10,19,383
applsci,2076-3417,10,20,377
applsci,2076-3417,10,21,562
applsci,2076-3417,10,22,362
applsci,2076-3417,10,23,452
applsci,2076-3417,10,24,391
applsci,2076-3417,11,1,464
applsci,2076-3417,11,2,425
applsci,2076-3417,11,3,462
applsci,2076-3417,11,4,621
applsci,2076-3417,11,5,474
applsci,2076-3417,11,6,440
applsci,2076-3417,11,7,409
applsci,2076-3417,11,8,431
applsci,2076-3417,11,9,591
applsci,2076-3417,11,10,396
applsci,2076-3417,11,11,599
applsci,2076-3417,11,12,446
applsci,2076-3417,11,13,481
applsci,2076-3417,11,14,427
applsci,2076-3417,11,15,506
applsci,2076-3417,11,16,594
applsci,2076-3417,11,17,508
applsci,2076-3417,11,18,515
applsci,2076-3417,11,19,568
applsci,2076-3417,11,20,421
applsci,2076-3417,11,21,726
applsci,2076-3417,11,22,574
applsci,2076-3417,11,23,499
applsci,2076-3417,11,24,591
applsci,2076-3417,12,1,530
applsci,2076-3417,12,2,407
applsci,2076-3417,12,3,830
applsci,2076-3417,12,4,497
applsci,2076-3417,12,5,495
applsci,2076-3417,12,6,451
applsci,2076-3417,12,7,493
applsci,2076-3417,12,8,390
applsci,2076-3417,12,9,706
applsci,2076-3417,12,10,490
applsci,2076-3417,12,11,474
applsci,2076-3417,12,12,529
applsci,2076-3417,12,13,534
applsci,2076-3417,12,14,527
applsci,2076-3417,12,15,601
applsci,2076-3417,12,16,435
applsci,2076-3417,12,17,535
applsci,2076-3417,12,18,473
applsci,2076-3417,12,19,792
applsci,2076-3417,12,20,501
applsci,2076-3417,12,21,616
applsci,2076-3417,12,22,567
applsci,2076-3417,12,23,631
applsci,2076-3417,12,24,542
applsci,2076-3417,13,1,675
applsci,2076-3417,13,2,552
applsci,2076-3417,13,3,798
applsci,2076-3417,13,4,725
applsci,2076-3417,13,5,101
atmosphere,2073-4433,8,1,22
atmosphere,2073-4433,8,2,20
atmosphere,2073-4433,8,3,20
atmosphere,2073-4433,8,4,16
atmosphere,2073-4433,8,5,15
atmosphere,2073-4433,8,6,18
atmosphere,2073-4433,8,7,21
atmosphere,2073-4433,8,8,23
atmosphere,2073-4433,8,9,25
atmosphere,2073-4433,8,10,26
atmosphere,2073-4433,8,11,24
atmosphere,2073-4433,8,12,28
atmosphere,2073-4433,9,1,34
atmosphere,2073-4433,9,2,44
atmosphere,2073-4433,9,3,36
atmosphere,2073-4433,9,4,43
atmosphere,2073-4433,9,5,45
atmosphere,2073-4433,9,6,34
atmosphere,2073-4433,9,7,50
atmosphere,2073-4433,9,8,39
atmosphere,2073-4433,9,9,40
atmosphere,2073-4433,9,10,48
atmosphere,2073-4433,9,11,43
atmosphere,2073-4433,9,12,49
atmosphere,2073-4433,10,1,40
atmosphere,2073-4433,10,2,62
atmosphere,2073-4433,10,3,59
atmosphere,2073-4433,10,4,65
atmosphere,2073-4433,10,5,65
atmosphere,2073-4433,10,6,57
atmosphere,2073-4433,10,7,75
atmosphere,2073-4433,10,8,55
atmosphere,2073-4433,10,9,84
atmosphere,2073-4433,10,10,76
atmosphere,2073-4433,10,11,88
atmosphere,2073-4433,10,12,92
atmosphere,2073-4433,11,1,121
atmosphere,2073-4433,11,2,100
atmosphere,2073-4433,11,3,92
atmosphere,2073-4433,11,4,121
atmosphere,2073-4433,11,5,115
atmosphere,2073-4433,11,6,126
atmosphere,2073-4433,11,7,96
atmosphere,2073-4433,11,8,111
atmosphere,2073-4433,11,9,137
atmosphere,2073-4433,11,10,119
atmosphere,2073-4433,11,11,128
atmosphere,2073-4433,11,12,116
atmosphere,2073-4433,12,1,125
atmosphere,2073-4433,12,2,164
atmosphere,2073-4433,12,3,124
atmosphere,2073-4433,12,4,111
atmosphere,2073-4433,12,5,130
atmosphere,2073-4433,12,6,145
atmosphere,2073-4433,12,7,131
atmosphere,2073-4433,12,8,155
atmosphere,2073-4433,12,9,146
atmosphere,2073-4433,12,10,137
atmosphere,2073-4433,12,11,172
atmosphere,2073-4433,12,12,167
atmosphere,2073-4433,13,1,148
atmosphere,2073-4433,13,2,214
atmosphere,2073-4433,13,3,140
atmosphere,2073-4433,13,4,137
atmosphere,2073-4433,13,5,211
atmosphere,2073-4433,13,6,145
atmosphere,2073-4433,13,7,163
atmosphere,2073-4433,13,8,182
atmosphere,2073-4433,13,9,191
atmosphere,2073-4433,13,10,210
atmosphere,2073-4433,13,11,198
atmosphere,2073-4433,13,12,194
atmosphere,2073-4433,14,1,190
atmosphere,2073-4433,14,2,228
atmosphere,2073-4433,14,3,20
axioms,2075-1680,6,1,6
axioms,2075-1680,6,2,10
axioms,2075-1680,6,3,10
axioms,2075-1680,6,4,9
axioms,2075-1680,7,1,19
axioms,2075-1680,7,2,23
axioms,2075-1680,7,3,26
axioms,2075-1680,7,4,26
axioms,2075-1680,8,1,36
axioms,2075-1680,8,2,40
axioms,2075-1680,8,3,29
axioms,2075-1680,8,4,34
axioms,2075-1680,9,1,34
axioms,2075-1680,9,2,37
axioms,2075-1680,9,3,41
axioms,2075-1680,9,4,32
axioms,2075-1680,10,1,41
axioms,2075-1680,10,2,86
axioms,2075-1680,10,3,109
axioms,2075-1680,10,4,114
axioms,2075-1680,11,1,34
axioms,2075-1680,11,2,48
axioms,2075-1680,11,3,61
axioms,2075-1680,11,4,40
axioms,2075-1680,11,5,60
axioms,2075-1680,11,6,56
axioms,2075-1680,11,7,53
axioms,2075-1680,11,8,70
axioms,2075-1680,11,9,66
axioms,2075-1680,11,10,90
axioms,2075-1680,11,11,81
axioms,2075-1680,11,12,88
axioms,2075-1680,12,1,95
axioms,2075-1680,12,2,130
axioms,2075-1680,12,3,7
batteries,2313-0105,3,1,10
batteries,2313-0105,3,2,9
batteries,2313-0105,3,3,9
batteries,2313-0105,3,4,13
batteries,2313-0105,4,1,13
batteries,2313-0105,4,2,16
batteries,2313-0105,4,3,18
batteries,2313-0105,4,4,24
batteries,2313-0105,5,1,36
batteries,2313-0105,5,2,13
batteries,2313-0105,5,3,14
batteries,2313-0105,5,4,12
batteries,2313-0105,6,1,20
batteries,2313-0105,6,2,14
batteries,2313-0105,6,3,13
batteries,2313-0105,6,4,14
batteries,2313-0105,7,1,20
batteries,2313-0105,7,2,21
batteries,2313-0105,7,3,22
batteries,2313-0105,7,4,25
batteries,2313-0105,8,1,6
batteries,2313-0105,8,2,13
batteries,2313-0105,8,3,8
batteries,2313-0105,8,4,10
batteries,2313-0105,8,5,11
batteries,2313-0105,8,6,11
batteries,2313-0105,8,7,15
batteries,2313-0105,8,8,28
batteries,2313-0105,8,9,27
batteries,2313-0105,8,10,67
batteries,2313-0105,8,11,54
batteries,2313-0105,8,12,43
batteries,2313-0105,9,1,64
batteries,2313-0105,9,2,79
batteries,2313-0105,9,3,2
behavsci,2076-328X,7,1,15
behavsci,2076-328X,7,2,23
behavsci,2076-328X,7,3,25
behavsci,2076-328X,7,4,21
behavsci,2076-328X,8,1,17
behavsci,2076-328X,8,2,11
behavsci,2076-328X,8,3,7
behavsci,2076-328X,8,4,6
behavsci,2076-328X,8,5,10
behavsci,2076-328X,8,6,8
behavsci,2076-328X,8,7,5
behavsci,2076-328X,8,8,12
behavsci,2076-328X,8,9,8
behavsci,2076-328X,8,10,13
behavsci,2076-328X,8,11,11
behavsci,2076-328X,8,12,9
behavsci,2076-328X,9,1,11
behavsci,2076-328X,9,2,10
behavsci,2076-328X,9,3,12
behavsci,2076-328X,9,4,12
behavsci,2076-328X,9,5,13
behavsci,2076-328X,9,6,7
behavsci,2076-328X,9,7,16
behavsci,2076-328X,9,8,8
behavsci,2076-328X,9,9,12
behavsci,2076-328X,9,10,9
behavsci,2076-328X,9,11,6
behavsci,2076-328X,9,12,44
behavsci,2076-328X,10,1,39
behavsci,2076-328X,10,2,20
behavsci,2076-328X,10,3,9
behavsci,2076-328X,10,4,12
behavsci,2076-328X,10,5,12
behavsci,2076-328X,10,6,13
behavsci,2076-328X,10,7,14
behavsci,2076-328X,10,8,10
behavsci,2076-328X,10,9,15
behavsci,2076-328X,10,10,17
behavsci,2076-328X,10,11,16
behavsci,2076-328X,10,12,17
behavsci,2076-328X,11,1,11
behavsci,2076-328X,11,2,16
behavsci,2076-328X,11,3,14
behavsci,2076-328X,11,4,15
behavsci,2076-328X,11,5,22
behavsci,2076-328X,11,6,13
behavsci,2076-328X,11,7,13
behavsci,2076-328X,11,8,9
behavsci,2076-328X,11,9,13
behavsci,2076-328X,11,10,15
behavsci,2076-328X,11,11,19
behavsci,2076-328X,11,12,22
behavsci,2076-328X,12,1,17
behavsci,2076-328X,12,2,39
behavsci,2076-328X,12,3,30
behavsci,2076-328X,12,4,29
behavsci,2076-328X,12,5,43
behavsci,2076-328X,12,6,41
behavsci,2076-328X,12,7,45
behavsci,2076-328X,12,8,54
behavsci,2076-328X,12,9,48
behavsci,2076-328X,12,10,60
behavsci,2076-328X,12,11,61
behavsci,2076-328X,12,12,51
behavsci,2076-328X,13,1,77
behavsci,2076-328X,13,2,115
behavsci,2076-328X,13,3,3
bioengineering,2306-5354,4,1,24
bioengineering,2306-5354,4,2,34
bioengineering,2306-5354,4,3,20
bioengineering,2306-5354,4,4,18
bioengineering,2306-5354,5,1,25
bioengineering,2306-5354,5,2,23
bioengineering,2306-5354,5,3,27
bioengineering,2306-5354,5,4,36
bioengineering,2306-5354,6,1,27
bioengineering,2306-5354,6,2,28
bioengineering,2306-5354,6,3,31
bioengineering,2306-5354,6,4,29
bioengineering,2306-5354,7,1,29
bioengineering,2306-5354,7,2,33
bioengineering,2306-5354,7,3,54
bioengineering,2306-5354,7,4,49
bioengineering,2306-5354,8,1,14
bioengineering,2306-5354,8,2,16
bioengineering,2306-5354,8,3,12
bioengineering,2306-5354,8,4,7
bioengineering,2306-5354,8,5,21
bioengineering,2306-5354,8,6,15
bioengineering,2306-5354,8,7,15
bioengineering,2306-5354,8,8,16
bioengineering,2306-5354,8,9,13
bioengineering,2306-5354,8,10,17
bioengineering,2306-5354,8,11,43
bioengineering,2306-5354,8,12,36
bioengineering,2306-5354,9,1,41
bioengineering,2306-5354,9,2,43
bioengineering,2306-5354,9,3,43
bioengineering,2306-5354,9,4,51
bioengineering,2306-5354,9,5,51
bioengineering,2306-5354,9,6,35
bioengineering,2306-5354,9,7,68
bioengineering,2306-5354,9,8,77
bioengineering,2306-5354,9,9,73
bioengineering,2306-5354,9,10,118
bioengineering,2306-5354,9,11,119
bioengineering,2306-5354,9,12,101
bioengineering,2306-5354,10,1,121
bioengineering,2306-5354,10,2,155
bioengineering,2306-5354,10,3,10
biology,2079-7737,6,1,21
