journal,ISSN,volume,nissues
cimb,1467-3045,41,1
cimb,1467-3045,42,1
cimb,1467-3045,43,3
cimb,1467-3045,44,12
cimb,1467-3045,45,3
coatings,2079-6412,7,12
coatings,2079-6412,8,12
coatings,2079-6412,9,12
coatings,2079-6412,10,12
coatings,2079-6412,11,12
coatings,2079-6412,12,12
coatings,2079-6412,13,3
crystals,2073-4352,7,12
crystals,2073-4352,8,12
crystals,2073-4352,9,12
crystals,2073-4352,10,12
crystals,2073-4352,11,12
crystals,2073-4352,12,12
crystals,2073-4352,13,3
curroncol,1718-7729,24,6
curroncol,1718-7729,25,6
curroncol,1718-7729,26,6
curroncol,1718-7729,27,6
curroncol,1718-7729,28,6
curroncol,1718-7729,29,12
curroncol,1718-7729,30,3
diagnostics,2075-4418,7,4
diagnostics,2075-4418,8,4
diagnostics,2075-4418,9,4
diagnostics,2075-4418,10,12
diagnostics,2075-4418,11,12
diagnostics,2075-4418,12,12
diagnostics,2075-4418,13,5
diversity,1424-2818,9,4
diversity,1424-2818,10,4
diversity,1424-2818,11,12
diversity,1424-2818,12,12
diversity,1424-2818,13,12
diversity,1424-2818,14,12
diversity,1424-2818,15,3
drones,2504-446X,1,1
drones,2504-446X,2,4
drones,2504-446X,3,4
drones,2504-446X,4,4
drones,2504-446X,5,4
drones,2504-446X,6,12
drones,2504-446X,7,3
electronics,2079-9292,6,4
electronics,2079-9292,7,12
electronics,2079-9292,8,12
electronics,2079-9292,9,12
electronics,2079-9292,10,24
electronics,2079-9292,11,24
electronics,2079-9292,12,5
energies,1996-1073,10,12
energies,1996-1073,11,12
energies,1996-1073,12,24
energies,1996-1073,13,24
energies,1996-1073,14,24
energies,1996-1073,15,24
energies,1996-1073,16,5
entropy,1099-4300,19,12
entropy,1099-4300,20,12
entropy,1099-4300,21,12
entropy,1099-4300,22,12
entropy,1099-4300,23,12
entropy,1099-4300,24,12
entropy,1099-4300,25,3
fermentation,2311-5637,3,4
fermentation,2311-5637,4,4
fermentation,2311-5637,5,4
fermentation,2311-5637,6,4
fermentation,2311-5637,7,4
fermentation,2311-5637,8,12
fermentation,2311-5637,9,3
fire,2571-6255,1,3
fire,2571-6255,2,4
fire,2571-6255,3,4
fire,2571-6255,4,4
fire,2571-6255,5,6
fire,2571-6255,6,3
fishes,2410-3888,2,4
fishes,2410-3888,3,4
fishes,2410-3888,4,4
fishes,2410-3888,5,4
fishes,2410-3888,6,4
fishes,2410-3888,7,6
fishes,2410-3888,8,3
foods,2304-8158,6,12
foods,2304-8158,7,12
foods,2304-8158,8,12
foods,2304-8158,9,12
foods,2304-8158,10,12
foods,2304-8158,11,24
foods,2304-8158,12,5
forests,1999-4907,8,12
forests,1999-4907,9,12
forests,1999-4907,10,12
forests,1999-4907,11,12
forests,1999-4907,12,12
forests,1999-4907,13,12
forests,1999-4907,14,3
fractalfract,2504-3110,1,1
fractalfract,2504-3110,2,4
fractalfract,2504-3110,3,4
fractalfract,2504-3110,4,4
fractalfract,2504-3110,5,4
fractalfract,2504-3110,6,12
fractalfract,2504-3110,7,3
gels,2310-2861,3,4
gels,2310-2861,4,4
gels,2310-2861,5,4
gels,2310-2861,6,4
gels,2310-2861,7,4
gels,2310-2861,8,12
gels,2310-2861,9,3
genes,2073-4425,8,12
genes,2073-4425,9,12
genes,2073-4425,10,12
genes,2073-4425,11,12
genes,2073-4425,12,12
genes,2073-4425,13,12
genes,2073-4425,14,3
healthcare,2227-9032,5,4
healthcare,2227-9032,6,4
healthcare,2227-9032,7,4
healthcare,2227-9032,8,4
healthcare,2227-9032,9,12
healthcare,2227-9032,10,12
healthcare,2227-9032,11,5
horticulturae,2311-7524,3,4
horticulturae,2311-7524,4,4
horticulturae,2311-7524,5,4
horticulturae,2311-7524,6,4
horticulturae,2311-7524,7,12
horticulturae,2311-7524,8,12
horticulturae,2311-7524,9,3
ijerph,1660-4601,14,12
ijerph,1660-4601,15,12
ijerph,1660-4601,16,24
ijerph,1660-4601,17,24
ijerph,1660-4601,18,24
ijerph,1660-4601,19,24
ijerph,1660-4601,20,5
ijgi,2220-9964,6,12
ijgi,2220-9964,7,12
ijgi,2220-9964,8,12
ijgi,2220-9964,9,12
ijgi,2220-9964,10,12
ijgi,2220-9964,11,12
ijgi,2220-9964,12,3
ijms,1422-0067,18,12
ijms,1422-0067,19,12
ijms,1422-0067,20,24
ijms,1422-0067,21,24
ijms,1422-0067,22,24
ijms,1422-0067,23,24
ijms,1422-0067,24,5
inorganics,2304-6740,5,4
inorganics,2304-6740,6,4
inorganics,2304-6740,7,12
inorganics,2304-6740,8,12
inorganics,2304-6740,9,12
inorganics,2304-6740,10,12
inorganics,2304-6740,11,3
insects,2075-4450,8,4
insects,2075-4450,9,4
insects,2075-4450,10,12
insects,2075-4450,11,12
insects,2075-4450,12,12
insects,2075-4450,13,12
insects,2075-4450,14,3
jcdd,2308-3425,4,4
jcdd,2308-3425,5,4
jcdd,2308-3425,6,4
jcdd,2308-3425,7,4
jcdd,2308-3425,8,12
jcdd,2308-3425,9,12
jcdd,2308-3425,10,3
jcm,2077-0383,6,12
jcm,2077-0383,7,12
jcm,2077-0383,8,12
jcm,2077-0383,9,12
jcm,2077-0383,10,24
jcm,2077-0383,11,24
jcm,2077-0383,12,5
jfb,2079-4983,8,4
jfb,2079-4983,9,4
jfb,2079-4983,10,4
jfb,2079-4983,11,4
jfb,2079-4983,12,4
jfb,2079-4983,13,4
jfb,2079-4983,14,3
jintelligence,2079-3200,5,4
jintelligence,2079-3200,6,4
jintelligence,2079-3200,7,4
jintelligence,2079-3200,8,4
jintelligence,2079-3200,9,4
jintelligence,2079-3200,10,4
jintelligence,2079-3200,11,3
jmse,2077-1312,5,4
jmse,2077-1312,6,4
jmse,2077-1312,7,12
jmse,2077-1312,8,12
jmse,2077-1312,9,12
jmse,2077-1312,10,12
jmse,2077-1312,11,3
jof,2309-608X,3,4
jof,2309-608X,4,4
jof,2309-608X,5,4
jof,2309-608X,6,4
jof,2309-608X,7,12
jof,2309-608X,8,12
jof,2309-608X,9,3
jpm,2075-4426,7,4
jpm,2075-4426,8,4
jpm,2075-4426,9,4
jpm,2075-4426,10,4
jpm,2075-4426,11,12
jpm,2075-4426,12,12
jpm,2075-4426,13,3
jtaer,0718-1876,11,3
jtaer,0718-1876,12,3
jtaer,0718-1876,13,3
jtaer,0718-1876,14,3
jtaer,0718-1876,15,3
jtaer,0718-1876,16,7
jtaer,0718-1876,17,4
land,2073-445X,6,4
land,2073-445X,7,4
land,2073-445X,8,12
land,2073-445X,9,12
land,2073-445X,10,12
land,2073-445X,11,12
land,2073-445X,12,3
life,2075-1729,7,4
life,2075-1729,8,4
life,2075-1729,9,4
life,2075-1729,10,12
life,2075-1729,11,12
life,2075-1729,12,12
life,2075-1729,13,3
lubricants,2075-4442,5,4
lubricants,2075-4442,6,4
lubricants,2075-4442,7,12
lubricants,2075-4442,8,12
lubricants,2075-4442,9,12
lubricants,2075-4442,10,12
lubricants,2075-4442,11,3
machines,2075-1702,5,4
machines,2075-1702,6,4
machines,2075-1702,7,4
machines,2075-1702,8,4
machines,2075-1702,9,12
machines,2075-1702,10,12
machines,2075-1702,11,3
magnetochemistry,2312-7481,3,4
magnetochemistry,2312-7481,4,4
magnetochemistry,2312-7481,5,4
magnetochemistry,2312-7481,6,4
magnetochemistry,2312-7481,7,12
magnetochemistry,2312-7481,8,12
magnetochemistry,2312-7481,9,3
marinedrugs,1660-3397,15,12
marinedrugs,1660-3397,16,12
marinedrugs,1660-3397,17,12
marinedrugs,1660-3397,18,12
marinedrugs,1660-3397,19,12
marinedrugs,1660-3397,20,12
marinedrugs,1660-3397,21,3
materials,1996-1944,10,12
materials,1996-1944,11,12
materials,1996-1944,12,24
materials,1996-1944,13,24
materials,1996-1944,14,24
materials,1996-1944,15,24
materials,1996-1944,16,5
mathematics,2227-7390,5,4
mathematics,2227-7390,6,12
mathematics,2227-7390,7,12
mathematics,2227-7390,8,12
mathematics,2227-7390,9,24
mathematics,2227-7390,10,24
mathematics,2227-7390,11,5
medicina,1648-9144,53,6
medicina,1648-9144,54,6
medicina,1648-9144,55,12
medicina,1648-9144,56,12
medicina,1648-9144,57,12
medicina,1648-9144,58,12
medicina,1648-9144,59,3
membranes,2077-0375,7,4
membranes,2077-0375,8,4
membranes,2077-0375,9,12
membranes,2077-0375,10,12
membranes,2077-0375,11,12
membranes,2077-0375,12,12
membranes,2077-0375,13,3
metabolites,2218-1989,7,4
metabolites,2218-1989,8,4
metabolites,2218-1989,9,12
metabolites,2218-1989,10,12
metabolites,2218-1989,11,12
metabolites,2218-1989,12,12
metabolites,2218-1989,13,3
metals,2075-4701,7,12
metals,2075-4701,8,12
metals,2075-4701,9,12
metals,2075-4701,10,12
metals,2075-4701,11,12
metals,2075-4701,12,12
metals,2075-4701,13,3
micromachines,2072-666X,8,12
micromachines,2072-666X,9,12
micromachines,2072-666X,10,12
micromachines,2072-666X,11,12
micromachines,2072-666X,12,12
micromachines,2072-666X,13,12
micromachines,2072-666X,14,3
microorganisms,2076-2607,5,4
microorganisms,2076-2607,6,4
microorganisms,2076-2607,7,12
microorganisms,2076-2607,8,12
microorganisms,2076-2607,9,12
microorganisms,2076-2607,10,12
microorganisms,2076-2607,11,3
minerals,2075-163X,7,12
minerals,2075-163X,8,12
minerals,2075-163X,9,12
minerals,2075-163X,10,12
minerals,2075-163X,11,12
minerals,2075-163X,12,12
minerals,2075-163X,13,3
molecules,1420-3049,22,12
molecules,1420-3049,23,12
molecules,1420-3049,24,24
molecules,1420-3049,25,24
molecules,1420-3049,26,24
molecules,1420-3049,27,24
molecules,1420-3049,28,5
nanomaterials,2079-4991,7,12
nanomaterials,2079-4991,8,12
nanomaterials,2079-4991,9,12
nanomaterials,2079-4991,10,12
nanomaterials,2079-4991,11,12
nanomaterials,2079-4991,12,24
nanomaterials,2079-4991,13,5
nutrients,2072-6643,9,12
nutrients,2072-6643,10,12
nutrients,2072-6643,11,12
nutrients,2072-6643,12,12
nutrients,2072-6643,13,12
nutrients,2072-6643,14,24
nutrients,2072-6643,15,5
pathogens,2076-0817,6,4
pathogens,2076-0817,7,4
pathogens,2076-0817,8,4
pathogens,2076-0817,9,12
pathogens,2076-0817,10,12
pathogens,2076-0817,11,12
pathogens,2076-0817,12,3
pharmaceuticals,1424-8247,10,4
pharmaceuticals,1424-8247,11,4
pharmaceuticals,1424-8247,12,4
pharmaceuticals,1424-8247,13,12
pharmaceuticals,1424-8247,14,12
pharmaceuticals,1424-8247,15,12
pharmaceuticals,1424-8247,16,3
pharmaceutics,1999-4923,9,4
pharmaceutics,1999-4923,10,4
pharmaceutics,1999-4923,11,12
pharmaceutics,1999-4923,12,12
pharmaceutics,1999-4923,13,12
pharmaceutics,1999-4923,14,12
pharmaceutics,1999-4923,15,3
photonics,2304-6732,4,4
photonics,2304-6732,5,4
photonics,2304-6732,6,4
photonics,2304-6732,7,4
photonics,2304-6732,8,12
photonics,2304-6732,9,12
photonics,2304-6732,10,3
plants,2223-7747,6,4
plants,2223-7747,7,4
plants,2223-7747,8,12
plants,2223-7747,9,12
plants,2223-7747,10,12
plants,2223-7747,11,24
plants,2223-7747,12,5
polymers,2073-4360,9,12
polymers,2073-4360,10,12
polymers,2073-4360,11,12
polymers,2073-4360,12,12
polymers,2073-4360,13,24
polymers,2073-4360,14,24
polymers,2073-4360,15,5
processes,2227-9717,5,4
processes,2227-9717,6,12
processes,2227-9717,7,12
processes,2227-9717,8,12
processes,2227-9717,9,12
processes,2227-9717,10,12
processes,2227-9717,11,3
remotesensing,2072-4292,9,12
remotesensing,2072-4292,10,12
remotesensing,2072-4292,11,24
remotesensing,2072-4292,12,24
remotesensing,2072-4292,13,24
remotesensing,2072-4292,14,24
remotesensing,2072-4292,15,5
sensors,1424-8220,17,12
sensors,1424-8220,18,12
sensors,1424-8220,19,24
sensors,1424-8220,20,24
sensors,1424-8220,21,24
sensors,1424-8220,22,24
sensors,1424-8220,23,5
separations,2297-8739,4,4
separations,2297-8739,5,4
separations,2297-8739,6,4
separations,2297-8739,7,4
separations,2297-8739,8,12
separations,2297-8739,9,12
separations,2297-8739,10,3
sustainability,2071-1050,9,12
sustainability,2071-1050,10,12
sustainability,2071-1050,11,24
sustainability,2071-1050,12,24
sustainability,2071-1050,13,24
sustainability,2071-1050,14,24
sustainability,2071-1050,15,5
symmetry,2073-8994,9,12
symmetry,2073-8994,10,12
symmetry,2073-8994,11,12
symmetry,2073-8994,12,12
symmetry,2073-8994,13,12
symmetry,2073-8994,14,12
symmetry,2073-8994,15,3
systems,2079-8954,5,4
systems,2079-8954,6,4
systems,2079-8954,7,4
systems,2079-8954,8,4
systems,2079-8954,9,4
systems,2079-8954,10,6
systems,2079-8954,11,3
tomography,2379-139X,3,4
tomography,2379-139X,4,4
tomography,2379-139X,5,4
tomography,2379-139X,6,4
tomography,2379-139X,7,4
tomography,2379-139X,8,6
tomography,2379-139X,9,2
toxics,2305-6304,5,4
toxics,2305-6304,6,4
toxics,2305-6304,7,4
toxics,2305-6304,8,4
toxics,2305-6304,9,12
toxics,2305-6304,10,12
toxics,2305-6304,11,3
toxins,2072-6651,9,12
toxins,2072-6651,10,12
toxins,2072-6651,11,12
toxins,2072-6651,12,12
toxins,2072-6651,13,12
toxins,2072-6651,14,12
toxins,2072-6651,15,3
tropicalmed,2414-6366,2,4
tropicalmed,2414-6366,3,4
tropicalmed,2414-6366,4,4
tropicalmed,2414-6366,5,4
tropicalmed,2414-6366,6,4
tropicalmed,2414-6366,7,12
tropicalmed,2414-6366,8,3
universe,2218-1997,3,4
universe,2218-1997,4,12
universe,2218-1997,5,12
universe,2218-1997,6,12
universe,2218-1997,7,12
universe,2218-1997,8,12
universe,2218-1997,9,3
vaccines,2076-393X,5,4
vaccines,2076-393X,6,4
vaccines,2076-393X,7,4
vaccines,2076-393X,8,4
vaccines,2076-393X,9,12
vaccines,2076-393X,10,12
vaccines,2076-393X,11,3
vetsci,2306-7381,4,4
vetsci,2306-7381,5,4
vetsci,2306-7381,6,4
vetsci,2306-7381,7,4
vetsci,2306-7381,8,12
vetsci,2306-7381,9,12
vetsci,2306-7381,10,3
viruses,1999-4915,9,12
viruses,1999-4915,10,12
viruses,1999-4915,11,12
viruses,1999-4915,12,12
viruses,1999-4915,13,12
viruses,1999-4915,14,12
viruses,1999-4915,15,3
water,2073-4441,9,12
water,2073-4441,10,12
water,2073-4441,11,12
water,2073-4441,12,12
water,2073-4441,13,24
water,2073-4441,14,24
water,2073-4441,15,5
